 ProductName Brand Price Quantity Category Barcode Quantity
 DisinfectantToiletCleanerLiquid-Original Harpic 2.98 500ml Cleaning&Household 3732282001646 387
 DisinfectantToiletCleanerLiquid-Original Harpic 6.24 1L Cleaning&Household 7233048130273 136
 DisinfectantToiletCleanerLiquid-Original Harpic 9.36 1Leach Cleaning&Household 1231509221426 200
 Tea RedLabel 0.64 100g Beverages 8701616357246 102
 Tea RedLabel 4.56 500g Beverages 3655909544901 311
 Tea RedLabel 2.32 250g Beverages 5147705313269 135
 Tea RedLabel 9.12 1Kg Beverages 4662272007165 61
 Carrot-Orange(Loose) Fresho 0.81 500g Fruits&Vegetables 1564995125428 388
 Carrot-Orange(Loose) Fresho 1.62 1kg Fruits&Vegetables 7582691746595 203
 Carrot-Orange(Loose) Fresho 0.41 250g Fruits&Vegetables 5119452506123 116
 2-MinuteInstantNoodles-Masala MAGGI 1.31 420g Snacks&BrandedFoods 8494086520507 179
 MasalaInstantNoodlesVegetarian MAGGI 0.22 70g Snacks&BrandedFoods 5837275919352 207
 Masala2MinuteInstantNoodles MAGGI 0.45 140g Snacks&BrandedFoods 8749682502199 33
 IdlyDosaBatter iDFresho 2.53 2x1kg Snacks&BrandedFoods 3591434826986 37
 Idly&DosaBatter iDFresho 1.26 1Kg Snacks&BrandedFoods 5550448907062 144
 BathingBarSoap-Original Dettol 3.84 6x75g Beauty&Hygiene 2699146577228 281
 BathingSoap-Original Dettol 4.8 4x125g Beauty&Hygiene 3914357240834 347
 BathingSoap-Original Dettol 2.4 2x125g Beauty&Hygiene 9208860322669 29
 StrongTeethAnticavityToothpasteWithAminoShakti-SaverPack Colgate 7.81 2x500g Beauty&Hygiene 5080401205493 377
 OriginalExtraVirginOliveOil BORGES 22.4 1L Gourmet&WorldFood 3903787782893 328
 ExtraVirginOliveOil BORGES 96.0 5L Gourmet&WorldFood 6052518244479 81
 OriginalExtraVirginOliveOil BORGES 43.2 2L Gourmet&WorldFood 6943232350568 192
 FrozenGreenPeas Fresho 2.16 500g Snacks&BrandedFoods 8074688576135 95
 FrozenGreenPeas Fresho 7.68 2x1kg Snacks&BrandedFoods 1975849559596 250
 FrozenGreenPeas Fresho 3.84 1Kg Snacks&BrandedFoods 2964829251949 390
 FrozenGreenPeas Fresho 4.32 2x500g Snacks&BrandedFoods 5740059617070 48
 Tea-NaturalCare RedLabel 10.4 1kg Beverages 4768024378730 59
 Tea-NaturalCare RedLabel 2.72 250g Beverages 2181816542726 312
 Tea-NaturalCare RedLabel 5.28 500g Beverages 7476112825992 319
 Tea-NaturalCare RedLabel 1.04 100g Beverages 9869051105923 350
 Tea TajMahal 12.8 1Kg Beverages 3000338185152 75
 Tea TajMahal 6.56 500g Beverages 8572331625378 395
 Rich&FlavourfulTea TajMahal 1.44 100g Beverages 7770419255198 106
 Tea TajMahal 3.52 250g Beverages 4708896818087 215
 AntisepticDisinfectantLiquid Dettol 1.06 125ml Beauty&Hygiene 8534468704242 249
 AntisepticDisinfectantLiquid Dettol 2.04 250ml Beauty&Hygiene 9575729397387 388
 AntisepticDisinfectantLiquid Dettol 3.42 550ml Beauty&Hygiene 6736933785834 291
 AntisepticDisinfectantLiquid Dettol 26.27 5L Beauty&Hygiene 7942030171729 154
 AntisepticDisinfectantLiquid Dettol 5.3 1L Beauty&Hygiene 1134422617505 220
 AntisepticDisinfectantLiquid Dettol 0.53 60ml Beauty&Hygiene 2575299509425 235
 Tea TataTeaGold 2.32 250g Beverages 8725884065048 153
 Tea TataTeaGold 0.64 100g Beverages 7382354430791 243
 Tea TataTeaGold 14.16 1.5Kg Beverages 1087564647709 39
 CreamBeautyBathingBar Dove 2.05 2x75g Beauty&Hygiene 9344321274355 265
 CreamBeautyBathingBar Dove 13.44 3x(3x125g) Beauty&Hygiene 3553181857405 66
 CreamBeautyBathingBar Dove 15.1 5x100g Beauty&Hygiene 1000598570843 259
 CreamBeautyBathingBar Dove 6.14 6x100g Beauty&Hygiene 1460881600980 196
 CreamBeautyBathingBarSoap Dove 8.19 8x75g Beauty&Hygiene 8121564052475 120
 SunriseInstantCoffee-ChicoryMixture Nescafe 1.52 50g Beverages 2243491980048 66
 SunriseRichAroma Nescafe 12.72 500g Beverages 4016817093133 116
 SunriseInstantCoffee Nescafe 0.08 5.5g Beverages 5508653356918 271
 GulabariPremiumRoseWater-ParabenFreeSkinToner Dabur 2.72 2x250ml Beauty&Hygiene 9337575469937 148
 DiaperPants-XXL Pampers 6.38 16pcs BabyCare 5698830637271 371
 Coccinia(Loose) Fresho 1.4 1kg Fruits&Vegetables 6937952054433 207
 Coccinia(Loose) Fresho 0.35 250g Fruits&Vegetables 7071120168654 181
 Coccinia(Loose) Fresho 0.7 500g Fruits&Vegetables 4255774327671 284
 Radish-White(Loose) Fresho 0.6 1kg Fruits&Vegetables 4008620582070 379
 Radish-White(Loose) Fresho 0.3 500g Fruits&Vegetables 6058383077112 319
 PremiumCareDiapers-Large Pampers 36.78 88pcs BabyCare 1686239989262 361
 PremiumCareDiapers-Large Pampers 5.12 13pcs BabyCare 2101502110216 248
 PremiumCareDiapers-Large Pampers 19.18 44pcs BabyCare 1090357684797 204
 SoftDrink MountainDew 0.56 250ml Beverages 3236526828265 327
 BathingSoap-Skincare Dettol 1.28 2x75g Beauty&Hygiene 6298384834025 201
 BathingBarSoap-Skincare Dettol 6.43 6x125gm Beauty&Hygiene 4275532664578 29
 GermProtectionBathingSoapBar Dettol 8.58 8x125g Beauty&Hygiene 4661865788699 341
 BathingBarSoap-Skincare Dettol 3.84 6x75g Beauty&Hygiene 7900365113082 280
 BathingSoap-Skincare Dettol 2.14 2x125g Beauty&Hygiene 6346049184105 397
 GermProtectionBathingSoapBar Dettol 4.29 4x125g Beauty&Hygiene 3830251959790 53
 Methi-Withroots Fresho 0.91 200g Fruits&Vegetables 6667008104415 340
 DurumWheatPasta-Fusilli BORGES 4.78 500g Gourmet&WorldFood 2695004487339 188
 ExtraVirginOliveOil DelMonte 25.6 1L Gourmet&WorldFood 1787807255921 161
 PremiumNaturalCalifornianAlmonds Happilo 8.8 2x200g Gourmet&WorldFood 9085869814492 371
 CaliforniaAlmonds Happilo 4.4 200g Gourmet&WorldFood 2544661352276 365
 Carrot-Ooty(Loose) Fresho 3.26 1kg Fruits&Vegetables 1371040626922 379
 Carrot-Ooty(Loose) Fresho 0.82 250g Fruits&Vegetables 8875268438458 150
 Carrot-Ooty(Loose) Fresho 1.63 500g Fruits&Vegetables 6402421435678 31
 BrightBeautySpot-lessFairness&GermRemovalFaceWash Ponds 2.8 100g Beauty&Hygiene 4550706330055 367
 BrightBeautySpot-lessFairness&GermRemovalFacewash Ponds 10.08 3x150g Beauty&Hygiene 1668719690959 322
 BrightBeautySpot-lessFairness&GermRemovalFacewash Ponds 5.58 200g Beauty&Hygiene 9943341871626 190
 BrightBeautySpot-lessFairness&GermRemovalFacewash Ponds 1.26 50g Beauty&Hygiene 8593950797035 153
 BrightBeautySpot-lessFairness&GermRemovalFacewash Ponds 3.36 150g Beauty&Hygiene 3811814719184 112
 PremiumCareDiapers-ExtraLarge Pampers 57.55 108pcs BabyCare 5881389844831 115
 BabyLipsLipBalm MaybellineNewYork 3.18 4g Beauty&Hygiene 8645538129792 46
 PremiumNaturalWholeCashews Happilo 5.36 200g Gourmet&WorldFood 6987147696399 190
 NachoChips-Jalapeno Tasties 1.44 150g Gourmet&WorldFood 4195258094099 395
 NachoChips-Jalapeno Tasties 1.28 2x60g Gourmet&WorldFood 4668096223221 160
 NachoChips-Jalapeno Tasties 2.88 2x150g Gourmet&WorldFood 9555689518647 200
 NachoChips-Jalapeno Tasties 0.64 60g Gourmet&WorldFood 9889137201611 283
 CurryLeaves Fresho 0.25 100g Fruits&Vegetables 4695700593080 164
 CurryLeaves Fresho 0.63 250g Fruits&Vegetables 6615096271892 348
 CurryLeaves Fresho 2.51 1kg Fruits&Vegetables 8985409354501 100
 Soft-LightMoisturisingCream Nivea 19.15 3x300ml Beauty&Hygiene 6814192191178 90
 DiaperPants-Medium Pampers 19.18 76pcs BabyCare 5898226088192 273
